Mass Point,Top events,Total 3-jet events,Percentage Top Events
WR2000_N300,2707,65464,4.14
WR2000_N500,12278,68865,17.83
WR2000_N700,16465,67496,24.39
WR2000_N900,19495,69784,27.94
WR2000_N1100,20813,69892,29.78
WR2000_N1300,21050,69181,30.43
WR2000_N1500,19186,78622,24.4
WR2000_N1700,14025,88286,15.89
WR2000_N1900,9321,106950,8.72
,,,
WR4000_N500,12382,60347,20.52
WR4000_N700,16870,61674,27.35
WR4000_N900,19365,64954,29.81
WR4000_N1100,20629,66619,30.97
WR4000_N1300,21090,66580,31.68
WR4000_N1500,21935,68779,31.89
WR4000_N1700,21750,68069,31.95
WR4000_N1900,22220,68421,32.48
WR4000_N2100,22459,69264,32.43
WR4000_N2300,22785,69954,32.57
WR4000_N2500,22841,70052,32.61
WR4000_N2700,22148,71189,31.11
WR4000_N2900,20893,75976,27.5
WR4000_N3100,19262,81827,23.54
WR4000_N3300,16844,88998,18.93
WR4000_N3500,14083,95828,14.7
WR4000_N3700,11532,104851,11
WR4000_N3900,7980,108233,7.37
,,,
WR6000_N700,16950,44251,38.3
WR6000_N900,19398,49410,39.26
WR6000_N1100,20527,53859,38.11
WR6000_N1300,21301,57416,37.1
WR6000_N1500,21748,60370,36.02
WR6000_N1700,21703,61679,35.19
WR6000_N1900,22348,64785,34.5
WR6000_N2100,22804,66470,34.31
WR6000_N2300,22787,67157,33.93
WR6000_N2500,23054,68531,33.64
WR6000_N2700,22978,69183,33.21
WR6000_N2900,22605,68360,33.07
WR6000_N3100,23186,69839,33.2
WR6000_N3300,22811,68730,33.19
WR6000_N3500,23092,69987,32.99
WR6000_N3700,22867,69427,32.94
WR6000_N3900,22568,69460,32.49
WR6000_N4100,22384,72491,30.88
WR6000_N4300,21443,75125,28.54
WR6000_N4500,20226,78191,25.87
WR6000_N4700,18940,83045,22.81
WR6000_N4900,17246,87950,19.61
WR6000_N5100,15550,92138,16.88
WR6000_N5300,13816,98376,14.04
WR6000_N5500,11878,104101,11.41
WR6000_N5700,10082,109601,9.2
WR6000_N5900,7562,113410,6.67
,,,
WR8000_N900,19080,25044,76.19
WR8000_N1100,20367,30236,67.36
WR8000_N1300,20871,35430,58.91
WR8000_N1500,21261,39848,53.36
WR8000_N1700,21939,45645,48.06
WR8000_N1900,22475,50367,44.62
WR8000_N2100,22673,54532,41.58
WR8000_N2300,22716,58052,39.13
WR8000_N2500,22806,60762,37.53
WR8000_N2700,22678,62538,36.26
WR8000_N2900,22656,64324,35.22
WR8000_N3100,22976,65754,34.94
WR8000_N3300,23152,66961,34.58
WR8000_N3500,23070,67855,34
WR8000_N3700,23343,69028,33.82
WR8000_N3900,22351,67099,33.31
WR8000_N4100,14014,42133,33.26
WR8000_N4300,22857,69340,32.96
WR8000_N4500,23136,69984,33.06
WR8000_N4700,22193,66532,33.36
WR8000_N4900,23222,70013,33.17
WR8000_N5100,22963,69692,32.95
WR8000_N5300,22710,70625,32.16
WR8000_N5500,22003,72173,30.49
WR8000_N5700,21731,74876,29.02
WR8000_N5900,20853,77475,26.92
WR8000_N6100,19731,80369,24.55
WR8000_N6300,18602,83172,22.37
WR8000_N6500,17608,87352,20.16
WR8000_N6700,16329,91115,17.92
WR8000_N6900,14960,94952,15.76
WR8000_N7100,13644,99158,13.76
WR8000_N7300,11912,101581,11.73
WR8000_N7500,10703,107613,9.95
WR8000_N7700,8923,108226,8.24
WR8000_N7900,7602,117231,6.48
